"Story","Title","Result","Date","Stability","Duration (s)"
"Text box","TEXT BOX","SUCCESS","2022-03-16T14:51:14.063-05:00[America/Bogota]","0.0","44.29"
"Eliminar Web Tables","Eliminar Web Tables","SUCCESS","2022-03-16T14:52:01.741-05:00[America/Bogota]","0.0","38.92"
